SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
746,Marion County,Indiana,55,"9,18,977","Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
747,Marshall County,Indiana,1025,47024,"Plymouth, IN Micropolitan Statistical Area","South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
748,Martin County,Indiana,2421,10260,,
749,Miami County,Indiana,1262,36486,"Peru, IN Micropolitan Statistical Area","Kokomo-Peru, IN Combined Statistical Area"
750,Monroe County,Indiana,445,"1,41,019","Bloomington, IN Metropolitan Statistical Area","Bloomington-Bedford, IN Combined Statistical Area"
751,Montgomery County,Indiana,1211,38254,"Crawfordsville, IN Micropolitan Statistical Area","Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
752,Morgan County,Indiana,765,69356,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
753,Newton County,Indiana,2173,14044,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","Chicago-Naperville, IL-IN-WI Combined Statistical Area"
754,Noble County,Indiana,1018,47582,"Kendallville, IN Micropolitan Statistical Area","Fort Wayne-Huntington-Auburn, IN Combined Statistical Area"
755,Ohio County,Indiana,2754,6079,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
756,Orange County,Indiana,1849,19690,,
757,Owen County,Indiana,1762,21380,"Bloomington, IN Metropolitan Statistical Area","Bloomington-Bedford, IN Combined Statistical Area"
758,Parke County,Indiana,1974,17069,,
759,Perry County,Indiana,1859,19462,,
760,Pike County,Indiana,2254,12766,"Jasper, IN Micropolitan Statistical Area",
761,Porter County,Indiana,379,"1,65,682","Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","Chicago-Naperville, IL-IN-WI Combined Statistical Area"
762,Posey County,Indiana,1581,25599,"Evansville, IN-KY Metropolitan Statistical Area",
763,Pulaski County,Indiana,2234,13124,,
764,Putnam County,Indiana,1227,37750,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
765,Randolph County,Indiana,1573,25815,,
766,Ripley County,Indiana,1464,28583,,
767,Rush County,Indiana,1972,17095,,
768,St. Joseph County,Indiana,250,"2,66,344","South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area"
769,Scott County,Indiana,1655,23791,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
770,Shelby County,Indiana,1076,44471,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","Indianapolis-Carmel-Muncie, IN Combined Statistical Area"
771,Spencer County,Indiana,1785,20837,,
772,Starke County,Indiana,1681,23213,,
773,Steuben County,Indiana,1325,34124,"Angola, IN Micropolitan Statistical Area","Fort Wayne-Huntington-Auburn, IN Combined Statistical Area"
774,Sullivan County,Indiana,1775,21188,"Terre Haute, IN Metropolitan Statistical Area",
775,Switzerland County,Indiana,2402,10424,,
776,Tippecanoe County,Indiana,355,"1,77,513","Lafayette-West Lafayette, IN Metropolitan Statistical Area","Lafayette-West Lafayette-Frankfort, IN Combined Statistical Area"
777,Tipton County,Indiana,2064,15695,,
778,Union County,Indiana,2649,7362,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
779,Vanderburgh County,Indiana,349,"1,80,858","Evansville, IN-KY Metropolitan Statistical Area",
780,Vermillion County,Indiana,2044,16040,"Terre Haute, IN Metropolitan Statistical Area",
781,Vigo County,Indiana,546,"1,08,428","Terre Haute, IN Metropolitan Statistical Area",
782,Wabash County,Indiana,1381,32361,"Wabash, IN Micropolitan Statistical Area",
783,Warren County,Indiana,2577,8342,,
784,Warrick County,Indiana,856,60463,"Evansville, IN-KY Metropolitan Statistical Area",
785,Washington County,Indiana,1498,27921,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
786,Wayne County,Indiana,778,68346,"Richmond, IN Micropolitan Statistical Area","Richmond-Connersville, IN Combined Statistical Area"
787,Wells County,Indiana,1506,27652,"Fort Wayne, IN Metropolitan Statistical Area","Fort Wayne-Huntington-Auburn, IN Combined Statistical Area"
788,White County,Indiana,1629,24426,,
789,Whitley County,Indiana,1345,33342,"Fort Wayne, IN Metropolitan Statistical Area","Fort Wayne-Huntington-Auburn, IN Combined Statistical Area"
790,Adair County,Iowa,2643,7481,,
791,Adams County,Iowa,2915,3911,,
792,Allamakee County,Iowa,2160,14237,,
793,Appanoose County,Iowa,2261,12700,,
794,Audubon County,Iowa,2771,5910,,
795,Benton County,Iowa,1572,25827,"Cedar Rapids, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
796,Black Hawk County,Iowa,475,"1,31,820","Waterloo-Cedar Falls, IA Metropolitan Statistical Area",
797,Boone County,Iowa,1555,26195,"Boone, IA Micropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
798,Bremer County,Iowa,1622,24479,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",
799,Buchanan County,Iowa,1780,20942,,
800,Buena Vista County,Iowa,1805,20592,"Storm Lake, IA Micropolitan Statistical Area",
801,Butler County,Iowa,2108,14986,,
802,Calhoun County,Iowa,2450,9909,,
803,Carroll County,Iowa,1803,20631,,
804,Cass County,Iowa,2197,13723,,
805,Cedar County,Iowa,1900,18416,,
806,Cerro Gordo County,Iowa,1091,43788,"Mason City, IA Micropolitan Statistical Area",
807,Cherokee County,Iowa,2301,11946,,
808,Chickasaw County,Iowa,2288,12276,,
809,Clarke County,Iowa,2483,9370,,
810,Clay County,Iowa,2003,16599,"Spencer, IA Micropolitan Statistical Area",
811,Clayton County,Iowa,1927,17835,,
812,Clinton County,Iowa,1001,48717,"Clinton, IA Micropolitan Statistical Area","Davenport-Moline, IA-IL Combined Statistical Area"
813,Crawford County,Iowa,1960,17309,,
814,Dallas County,Iowa,748,71967,"Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
815,Davis County,Iowa,2550,8689,"Ottumwa, IA Micropolitan Statistical Area",
816,Decatur County,Iowa,2589,8253,,
817,Delaware County,Iowa,1945,17574,,
818,Des Moines County,Iowa,1169,40340,"Burlington, IA-IL Micropolitan Statistical Area",
819,Dickinson County,Iowa,1985,16972,"Spirit Lake, IA Micropolitan Statistical Area",
820,Dubuque County,Iowa,610,95097,"Dubuque, IA Metropolitan Statistical Area",
821,Emmet County,Iowa,2433,10120,,
822,Fayette County,Iowa,1789,20793,,
823,Floyd County,Iowa,2042,16056,,
824,Franklin County,Iowa,2393,10554,,
825,Fremont County,Iowa,2668,7147,,
826,Greene County,Iowa,2505,9153,,
827,Grundy County,Iowa,2276,12448,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",
828,Guthrie County,Iowa,2376,10777,"Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
829,Hamilton County,Iowa,2086,15344,,
830,Hancock County,Iowa,2351,11134,,
831,Hardin County,Iowa,1961,17302,,
832,Harrison County,Iowa,2139,14548,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
833,Henry County,Iowa,1829,20236,,
834,Howard County,Iowa,2466,9563,,
835,Humboldt County,Iowa,2456,9729,,
836,Ida County,Iowa,2673,7108,,
837,Iowa County,Iowa,2032,16189,,
838,Jackson County,Iowa,1848,19712,,
839,Jasper County,Iowa,1259,36602,"Newton, IA Micropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
840,Jefferson County,Iowa,1990,16867,"Fairfield, IA Micropolitan Statistical Area",
841,Johnson County,Iowa,456,"1,36,317","Iowa City, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
842,Jones County,Iowa,1802,20639,"Cedar Rapids, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
843,Keokuk County,Iowa,2406,10374,,
844,Kossuth County,Iowa,2085,15346,,
845,Lee County,Iowa,1284,35617,"Fort Madison-Keokuk, IA-IL-MO Micropolitan Statistical Area",
846,Linn County,Iowa,291,"2,15,295","Cedar Rapids, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
847,Louisa County,Iowa,2339,11278,,
848,Lucas County,Iowa,2537,8760,,
849,Lyon County,Iowa,2313,11757,,
850,Madison County,Iowa,2068,15654,"Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
851,Mahaska County,Iowa,1712,22443,"Oskaloosa, IA Micropolitan Statistical Area",
852,Marion County,Iowa,1342,33419,,
853,Marshall County,Iowa,1158,40857,"Marshalltown, IA Micropolitan Statistical Area",
854,Mills County,Iowa,2121,14837,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
855,Mitchell County,Iowa,2380,10725,,
856,Monona County,Iowa,2508,9124,,
857,Monroe County,Iowa,2598,8063,,
858,Montgomery County,Iowa,2392,10566,,
859,Muscatine County,Iowa,1114,42879,"Muscatine, IA Micropolitan Statistical Area","Davenport-Moline, IA-IL Combined Statistical Area"
860,O'Brien County,Iowa,2164,14172,,
861,Osceola County,Iowa,2745,6193,,
862,Page County,Iowa,2063,15713,,
863,Palo Alto County,Iowa,2496,9275,,
864,Plymouth County,Iowa,1611,24907,"Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
865,Pocahontas County,Iowa,2667,7150,,
866,Polk County,Iowa,151,"4,43,710","Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
867,Pottawattamie County,Iowa,621,92913,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
868,Poweshiek County,Iowa,1887,18736,,
869,Ringgold County,Iowa,2833,5096,,
870,Sac County,Iowa,2430,10153,,
871,Scott County,Iowa,367,"1,68,799","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","Davenport-Moline, IA-IL Combined Statistical Area"
872,Shelby County,Iowa,2296,12069,,
873,Sioux County,Iowa,1320,34268,,
874,Story County,Iowa,632,91140,"Ames, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
875,Tama County,Iowa,1948,17536,,
876,Taylor County,Iowa,2744,6208,,
877,Union County,Iowa,2267,12594,,
878,Van Buren County,Iowa,2646,7449,,
879,Wapello County,Iowa,1293,35366,"Ottumwa, IA Micropolitan Statistical Area",
880,Warren County,Iowa,1029,46891,"Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
881,Washington County,Iowa,1736,21914,"Iowa City, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
882,Wayne County,Iowa,2736,6344,,
883,Webster County,Iowa,1241,37273,"Fort Dodge, IA Micropolitan Statistical Area",
884,Winnebago County,Iowa,2390,10600,,
885,Winneshiek County,Iowa,1778,21061,,
886,Woodbury County,Iowa,571,"1,02,323","Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
887,Worth County,Iowa,2641,7519,"Mason City, IA Micropolitan Statistical Area",
888,Wright County,Iowa,2240,12991,,
889,Allen County,Kansas,2223,13319,,
890,Anderson County,Kansas,2605,7917,,
891,Atchison County,Kansas,1994,16813,"Atchison, KS Micropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
892,Barber County,Kansas,2847,4861,,
893,Barton County,Kansas,1511,27557,"Great Bend, KS Micropolitan Statistical Area",
894,Bourbon County,Kansas,2117,14897,,
895,Brown County,Kansas,2452,9881,,
896,Butler County,Kansas,802,65827,"Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
897,Chase County,Kansas,2992,2757,,
898,Chautauqua County,Kansas,2940,3571,,
899,Cherokee County,Kansas,1773,21226,,
900,Cheyenne County,Kansas,3000,2678,,
901,Clark County,Kansas,3038,2181,,
902,Clay County,Kansas,2561,8531,,
903,Cloud County,Kansas,2480,9397,,
904,Coffey County,Kansas,2563,8502,,
905,Comanche County,Kansas,3066,1913,,
906,Cowley County,Kansas,1269,36288,"Arkansas City-Winfield, KS Micropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
907,Crawford County,Kansas,1188,39361,"Pittsburg, KS Micropolitan Statistical Area",
908,Decatur County,Kansas,2987,2871,,
909,Dickinson County,Kansas,1847,19762,,
910,Doniphan County,Kansas,2608,7864,"St. Joseph, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
911,Douglas County,Kansas,532,"1,12,864","Lawrence, KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
912,Edwards County,Kansas,2981,2979,,
913,Elk County,Kansas,2999,2720,,
914,Ellis County,Kansas,1449,29053,"Hays, KS Micropolitan Statistical Area",
915,Ellsworth County,Kansas,2725,6494,,
916,Finney County,Kansas,1242,37200,"Garden City, KS Micropolitan Statistical Area",
917,Ford County,Kansas,1306,34752,"Dodge City, KS Micropolitan Statistical Area",
918,Franklin County,Kansas,1567,25906,"Ottawa, KS Micropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
919,Geary County,Kansas,1221,38013,"Junction City, KS Micropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
920,Gove County,Kansas,2998,2729,,
921,Graham County,Kansas,3002,2578,,
922,Grant County,Kansas,2603,7923,,
923,Gray County,Kansas,2758,6030,,
924,Greeley County,Kansas,3096,1298,,
925,Greenwood County,Kansas,2728,6454,,
926,Hamilton County,Kansas,3001,2639,,
927,Harper County,Kansas,2770,5911,,
928,Harvey County,Kansas,1304,34852,"Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
929,Haskell County,Kansas,2887,4256,,
930,Hodgeman County,Kansas,3058,1963,,
931,Jackson County,Kansas,2216,13449,"Topeka, KS Metropolitan Statistical Area",
932,Jefferson County,Kansas,1877,18945,"Topeka, KS Metropolitan Statistical Area",
933,Jewell County,Kansas,2974,3046,,
934,Johnson County,Kansas,111,"5,59,913","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
935,Kearny County,Kansas,2909,3968,"Garden City, KS Micropolitan Statistical Area",
936,Kingman County,Kansas,2609,7863,"Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
937,Kiowa County,Kansas,3008,2496,,
938,Labette County,Kansas,1769,21284,"Parsons, KS Micropolitan Statistical Area",
939,Lane County,Kansas,3074,1704,,
940,Leavenworth County,Kansas,703,77739,"Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
941,Lincoln County,Kansas,2963,3174,,
942,Linn County,Kansas,2477,9441,"Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
943,Logan County,Kansas,2990,2784,,
944,Lyon County,Kansas,1333,33748,"Emporia, KS Micropolitan Statistical Area",
945,McPherson County,Kansas,1438,29356,"McPherson, KS Micropolitan Statistical Area",
946,Marion County,Kansas,2283,12347,,
947,Marshall County,Kansas,2442,10022,,
948,Meade County,Kansas,2874,4396,,
949,Miami County,Kansas,1368,32612,"Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
950,Mitchell County,Kansas,2735,6355,,
951,Montgomery County,Kansas,1313,34459,"Coffeyville, KS Micropolitan Statistical Area",
952,Morris County,Kansas,2777,5854,,
953,Morton County,Kansas,2964,3169,,
954,Nemaha County,Kansas,2431,10132,,
955,Neosho County,Kansas,2018,16406,,
956,Ness County,Kansas,2973,3068,,
957,Norton County,Kansas,2796,5612,,
958,Osage County,Kansas,2035,16142,"Topeka, KS Metropolitan Statistical Area",
959,Osborne County,Kansas,2920,3806,,
960,Ottawa County,Kansas,2755,6072,"Salina, KS Micropolitan Statistical Area",
961,Pawnee County,Kansas,2691,6928,,
962,Phillips County,Kansas,2804,5519,,
963,Pottawatomie County,Kansas,1719,22302,"Manhattan, KS Metropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
964,Pratt County,Kansas,2457,9728,,
965,Rawlins County,Kansas,3003,2560,,
966,Reno County,Kansas,817,64438,"Hutchinson, KS Micropolitan Statistical Area",
967,Republic County,Kansas,2848,4858,,
968,Rice County,Kansas,2445,9985,,
969,Riley County,Kansas,724,75508,"Manhattan, KS Metropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
970,Rooks County,Kansas,2824,5223,,
971,Rush County,Kansas,2959,3220,,
972,Russell County,Kansas,2690,6946,,
973,Saline County,Kansas,903,55988,"Salina, KS Micropolitan Statistical Area",
974,Scott County,Kansas,2842,4937,,
975,Sedgwick County,Kansas,129,"5,03,889","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
976,Seward County,Kansas,1661,23547,"Liberal, KS Micropolitan Statistical Area",
977,Shawnee County,Kansas,352,"1,78,991","Topeka, KS Metropolitan Statistical Area",
978,Sheridan County,Kansas,3007,2538,,
979,Sherman County,Kansas,2751,6113,,
980,Smith County,Kansas,2925,3765,,
981,Stafford County,Kansas,2878,4358,,
982,Stanton County,Kansas,3039,2175,,
983,Stevens County,Kansas,2787,5756,,
984,Sumner County,Kansas,1657,23674,"Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
985,Thomas County,Kansas,2602,7941,,
986,Trego County,Kansas,2980,2986,,
987,Wabaunsee County,Kansas,2679,7039,"Topeka, KS Metropolitan Statistical Area",
988,Wallace County,Kansas,3082,1517,,
989,Washington County,Kansas,2786,5758,,
990,Wichita County,Kansas,3031,2256,,
991,Wilson County,Kansas,2510,9105,,
992,Woodson County,Kansas,2956,3278,,
993,Wyandotte County,Kansas,396,"1,59,129","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
994,Adair County,Kentucky,1889,18675,,
995,Allen County,Kentucky,1831,20210,"Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
996,Anderson County,Kentucky,1742,21728,"Frankfort, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
997,Ballard County,Kentucky,2579,8333,"Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
998,Barren County,Kentucky,1119,42631,"Glasgow, KY Micropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
999,Bath County,Kentucky,2310,11802,"Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1000,Bell County,Kentucky,1485,28183,"Middlesborough, KY Micropolitan Statistical Area",
1001,Boone County,Kentucky,496,"1,23,316","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1002,Bourbon County,Kentucky,1841,19978,"Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1003,Boyd County,Kentucky,997,49164,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
1004,Boyle County,Kentucky,1461,28658,"Danville, KY Micropolitan Statistical Area",
1005,Bracken County,Kentucky,2564,8494,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1006,Breathitt County,Kentucky,2205,13635,,
1007,Breckinridge County,Kentucky,1837,20071,,
1008,Bullitt County,Kentucky,721,75896,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1009,Butler County,Kentucky,2250,12840,"Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1010,Caldwell County,Kentucky,2247,12935,,
1011,Calloway County,Kentucky,1228,37655,"Murray, KY Micropolitan Statistical Area",
1012,Campbell County,Kentucky,633,90908,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1013,Carlisle County,Kentucky,2835,5034,,
1014,Carroll County,Kentucky,2367,10900,,
1015,Carter County,Kentucky,1517,27348,,
1016,Casey County,Kentucky,2041,16082,,
1017,Christian County,Kentucky,726,75427,"Clarksville, TN-KY Metropolitan Statistical Area",
1018,Clark County,Kentucky,1282,35787,"Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1019,Clay County,Kentucky,1751,21556,,
1020,Clinton County,Kentucky,2417,10285,,
1021,Crittenden County,Kentucky,2495,9280,,
1022,Cumberland County,Kentucky,2698,6819,,
1023,Daviess County,Kentucky,599,97847,"Owensboro, KY Metropolitan Statistical Area",
1024,Edmonson County,Kentucky,2294,12071,"Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1025,Elliott County,Kentucky,2618,7780,,
1026,Estill County,Kentucky,2140,14493,,
1027,Fayette County,Kentucky,211,"3,05,489","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1028,Fleming County,Kentucky,2136,14560,,
1029,Floyd County,Kentucky,1197,38949,,
1030,Franklin County,Kentucky,984,49804,"Frankfort, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1031,Fulton County,Kentucky,2720,6525,"Union City, TN-KY Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
1032,Gallatin County,Kentucky,2566,8479,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1033,Garrard County,Kentucky,1989,16913,,
1034,Grant County,Kentucky,1621,24485,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1035,Graves County,Kentucky,1230,37544,"Mayfield, KY Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
1036,Grayson County,Kentucky,1565,25964,,
1037,Green County,Kentucky,2338,11315,,
1038,Greenup County,Kentucky,1255,36707,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
1039,Hancock County,Kentucky,2552,8677,"Owensboro, KY Metropolitan Statistical Area",
1040,Hardin County,Kentucky,556,"1,07,025","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1041,Harlan County,Kentucky,1466,28543,,
1042,Harrison County,Kentucky,1892,18624,,
1043,Hart County,Kentucky,1904,18366,,
1044,Henderson County,Kentucky,1040,46513,"Evansville, IN-KY Metropolitan Statistical Area",
1045,Henry County,Kentucky,2087,15318,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1046,Hickman County,Kentucky,2856,4754,,
1047,Hopkins County,Kentucky,1035,46718,"Madisonville, KY Micropolitan Statistical Area",
1048,Jackson County,Kentucky,2222,13331,,
1049,Jefferson County,Kentucky,78,"7,50,828","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1050,Jessamine County,Kentucky,988,49635,"Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1051,Johnson County,Kentucky,1669,23383,,
1052,Kenton County,Kentucky,388,"1,61,711","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1053,Knott County,Kentucky,2037,16124,,
1054,Knox County,Kentucky,1396,31735,"London, KY Micropolitan Statistical Area",
1055,Larue County,Kentucky,2165,14151,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1056,Laurel County,Kentucky,870,59462,"London, KY Micropolitan Statistical Area",
1057,Lawrence County,Kentucky,2053,15848,,
1058,Lee County,Kentucky,2626,7706,,
1059,Leslie County,Kentucky,2349,11170,,
1060,Letcher County,Kentucky,1646,23952,,
1061,Lewis County,Kentucky,2185,13835,,
1062,Lincoln County,Kentucky,1626,24461,"Danville, KY Micropolitan Statistical Area",
1063,Livingston County,Kentucky,2479,9423,"Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
1064,Logan County,Kentucky,1541,26646,,
1065,Lyon County,Kentucky,2574,8351,,
1066,McCracken County,Kentucky,806,65549,"Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
1067,McCreary County,Kentucky,1917,18069,,
1068,McLean County,Kentucky,2472,9506,"Owensboro, KY Metropolitan Statistical Area",
1069,Madison County,Kentucky,664,84786,"Richmond-Berea, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1070,Magoffin County,Kentucky,2238,13041,,
1071,Marion County,Kentucky,1836,20090,,
1072,Marshall County,Kentucky,1406,31344,,
1073,Martin County,Kentucky,2257,12743,,
1074,Mason County,Kentucky,1951,17512,"Maysville, KY Micropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
1075,Meade County,Kentucky,1444,29237,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1076,Menifee County,Kentucky,2743,6220,"Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1077,Mercer County,Kentucky,1771,21261,,
1078,Metcalfe County,Kentucky,2446,9969,"Glasgow, KY Micropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
1079,Monroe County,Kentucky,2372,10821,,
1080,Montgomery County,Kentucky,1533,26902,"Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
1081,Morgan County,Kentucky,2200,13668,,
1082,Muhlenberg County,Kentucky,1408,31181,,
1083,Nelson County,Kentucky,1080,44319,"Bardstown, KY Micropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
1084,Nicholas County,Kentucky,2683,7000,,
1085,Ohio County,Kentucky,1641,24075,,
